ORF	gene_name	TR_galactose
YAR060C		0.012576
YAR064W		0.034773
YAR066W		
YAR068W		0.230601
YAR069C		
YAR070C		
YAR071W	PHO11	
YAR073W	IMD1	0.011977
YAR075W		
YBL001C	ECM15	
YBL002W	HTB2	0.106697
YBL003C	HTA2	0.169894
YBL004W	UTP20	0.058416
YBL005W	PDR3	0.061072
YBL006C	LDB7	0.082243
YBL006W-A		
YBL007C	SLA1	0.070523
YBL008W	HIR1	
YBL008W-A		
YBL009W		0.020838
YBL010C		0.018773
YBL011W	SCT1	0.057783
YBL012C		0.037716
YBL013W	FMT1	
YBL014C	RRN6	0.062002
YBL015W	ACH1	
YBL016W	FUS3	
YBL017C	PEP1	
YBL018C	POP8	0.086188
YBL019W	APN2	0.097237
YBL020W	RFT1	0.046704
YBL021C	HAP3	0.033837
YBL022C	PIM1	0.032898
YBL023C	MCM2	
YBL024W	NCL1	0.098610
YBL025W	RRN10	0.077747
YBL026W	LSM2	0.089846
YBL027W	RPL19B	0.207497
YBL028C		
YBL029C-A		
YBL029W		
YBL030C	PET9	0.115355
YBL031W	SHE1	0.071074
YBL032W	HEK2	0.038701
YBL033C	RIB1	0.087140
YBL034C	STU1	
YBL035C	POL12	0.036580
YBL036C		0.067758
YBL037W	APL3	0.064535
YBL038W	MRPL16	
YBL039C	URA7	
YBL039C-A		
YBL039W-B		
YBL040C	ERD2	0.056500
YBL041W	PRE7	0.095277
YBL042C	FUI1	0.280957
YBL043W	ECM13	
YBL044W		
YBL045C	COR1	0.046436
YBL046W	PSY4	0.044561
YBL047C	EDE1	0.117972
YBL048W		
YBL049W	MOH1	0.117050
YBL050W	SEC17	
YBL051C	PIN4	0.064152
YBL052C	SAS3	0.071855
YBL053W		0.218893
YBL054W		
YBL055C		0.084528
YBL056W	PTC3	0.089773
YBL057C	PTH2	0.078046
YBL058W	SHP1	0.106206
YBL059C-A		
YBL059W		0.043232
YBL060W		0.064098
YBL061C	SKT5	0.038271
YBL062W		0.060084
YBL063W	KIP1	0.037524
YBL064C	PRX1	0.067503
YBL065W		
YBL066C	SEF1	0.028951
YBL067C	UBP13	0.060733
YBL068W	PRS4	0.025407
YBL068W-A		
YBL069W	AST1	0.095293
YBL070C		
YBL071C		
YBL071C-B		
YBL071W-A	KTI11	0.051727
YBL072C	RPS8A	0.163823
YBL073W		0.027230
YBL074C	AAR2	0.031780
YBL075C	SSA3	0.040399
YBL076C	ILS1	0.023365
YBL077W		0.104103
YBL078C	ATG8	0.046155
YBL079W	NUP170	0.083514
YBL080C	PET112	0.016448
YBL081W		
YBL082C	ALG3	0.013115
YBL083C		0.008655
YBL084C	CDC27	
YBL085W	BOI1	
YBL086C		0.023626
YBL087C	RPL23A	0.151554
YBL088C	TEL1	0.056619
YBL089W	AVT5	
YBL090W	MRP21	0.035533
YBL091C	MAP2	0.038881
YBL091C-A	SCS22	0.332104
YBL092W	RPL32	0.234037
YBL093C	ROX3	0.141295
YBL094C		
YBL095W		0.061777
YBL096C		0.066242
YBL097W	BRN1	
YBL098W	BNA4	
YBL099W	ATP1	0.066449
YBL100C		0.131106
YBL100W-C		
YBL101C	ECM21	0.054366
YBL102W	SFT2	0.024817
YBL103C	RTG3	0.051186
YBL104C		0.012005
YBL105C	PKC1	0.114816
YBL106C	SRO77	0.013944
YBL107C		0.068220
YBL107W-A		
YBL108C-A		
YBL108W		
YBL109W		
YBL111C		
YBL112C		
YBL113C		
YBL113W-A		
YBR001C	NTH2	0.087518
YBR002C	RER2	0.069642
YBR003W	COQ1	0.015178
YBR004C	GPI18	
YBR005W	RCR1	
YBR006W	UGA2	0.114919
YBR007C	DSF2	0.060681
YBR008C	FLR1	
YBR009C	HHF1	1.290836
YBR010W	HHT1	0.496913
YBR011C	IPP1	0.066642
YBR012C		
YBR013C		
YBR014C		0.067113
YBR015C	MNN2	0.025756
YBR016W		0.057644
YBR017C	KAP104	
YBR018C	GAL7	
YBR019C	GAL10	0.326353
YBR020W	GAL1	0.260344
YBR021W	FUR4	0.074775
YBR022W	POA1	0.021965
YBR023C	CHS3	
YBR024W	SCO2	0.048498
YBR025C		0.053393
YBR026C	ETR1	0.015118
YBR027C		
YBR028C		0.055171
YBR029C	CDS1	0.012875
YBR030W		0.069722
YBR031W	RPL4A	
YBR032W		0.416144
YBR033W		0.064488
YBR034C	HMT1	0.218069
YBR035C	PDX3	0.039236
YBR036C	CSG2	0.045087
YBR037C	SCO1	0.027877
YBR038W	CHS2	0.017295
YBR039W	ATP3	0.132552
YBR040W	FIG1	
YBR041W	FAT1	0.058918
YBR042C		
YBR043C	QDR3	0.068920
YBR044C	TCM62	0.060634
YBR045C	GIP1	
YBR046C	ZTA1	0.028858
YBR047W		
YBR048W	RPS11B	0.209114
YBR049C	REB1	0.077811
YBR050C	REG2	0.025062
YBR051W		
YBR052C	RFS1	0.103448
YBR053C		0.011180
YBR054W	YRO2	0.131414
YBR055C	PRP6	
YBR056C-B		
YBR056W		
YBR056W-A		
YBR057C	MUM2	0.062147
YBR058C	UBP14	0.051108
YBR058C-A	TSC3	
YBR059C	AKL1	0.025644
YBR060C	ORC2	0.052044
YBR061C	TRM7	0.043157
YBR062C		0.076087
YBR063C		0.086478
YBR064W		
YBR065C	ECM2	0.016053
YBR066C	NRG2	
YBR067C	TIP1	0.197843
YBR068C	BAP2	0.273639
YBR069C	TAT1	
YBR070C	ALG14	0.019889
YBR071W		0.068625
YBR072C-A		
YBR072W	HSP26	0.348751
YBR073W	RDH54	0.030038
YBR074W		0.024712
YBR076C-A		
YBR076W	ECM8	
YBR077C	SLM4	
YBR078W	ECM33	0.534957
YBR079C	RPG1	0.060128
YBR080C	SEC18	
YBR081C	SPT7	0.049648
YBR082C	UBC4	0.072818
YBR083W	TEC1	
YBR084C-A	RPL19A	0.163988
YBR084W	MIS1	0.064725
YBR085C-A		
YBR085W	AAC3	
YBR086C	IST2	
YBR087W	RFC5	
YBR088C	POL30	
YBR089C-A	NHP6B	
YBR089W		0.055401
YBR090C		0.080766
YBR091C	MRS5	0.023787
YBR092C	PHO3	0.073059
YBR093C	PHO5	0.024792
YBR094W		0.041765
YBR095C	RXT2	0.041135
YBR096W		0.017622
YBR097W	VPS15	0.114316
YBR098W	MMS4	
YBR099C		
YBR101C	FES1	0.115476
YBR102C	EXO84	0.043858
YBR103C-A		
YBR103W	SIF2	0.084892
YBR104W	YMC2	0.059981
YBR105C	VID24	0.044735
YBR106W	PHO88	0.165896
YBR107C	IML3	0.044212
YBR108W		0.039513
YBR109C	CMD1	0.065541
YBR109W-A		
YBR110W	ALG1	0.012860
YBR111C	YSA1	0.034924
YBR111W-A	SUS1	
YBR112C	CYC8	0.195624
YBR113W		0.053621
YBR114W	RAD16	0.049441
YBR115C	LYS2	0.071353
YBR116C		0.029062
YBR117C	TKL2	0.036261
YBR118W	TEF2	0.329010
YBR119W	MUD1	0.094041
YBR120C	CBP6	0.027067
YBR121C	GRS1	0.110984
YBR121C-A		
YBR122C	MRPL36	0.079508
YBR123C	TFC1	0.043191
YBR124W		0.022761
YBR125C	PTC4	0.031683
YBR126C	TPS1	
YBR126W-A		
YBR126W-B		
YBR127C	VMA2	0.069150
YBR128C	ATG14	0.027470
YBR129C	OPY1	0.035901
YBR130C	SHE3	0.067122
YBR131C-A		
YBR131W	CCZ1	0.014908
YBR132C	AGP2	
YBR133C	HSL7	0.051289
YBR134W		0.027761
YBR135W	CKS1	0.050442
YBR136W	MEC1	0.060840
YBR137W		0.043279
YBR138C		
YBR139W		0.017398
YBR140C	IRA1	0.063801
YBR141C		0.043324
YBR141W-A		
YBR142W	MAK5	0.125168
YBR143C	SUP45	0.106625
YBR144C		0.038492
YBR145W	ADH5	0.038162
YBR146W	MRPS9	0.059381
YBR147W		
YBR148W	YSW1	
YBR149W	ARA1	0.030994
YBR150C	TBS1	
YBR151W	APD1	0.044270
YBR152W	SPP381	0.057437
YBR153W	RIB7	0.078444
YBR154C	RPB5	0.268204
YBR155W	CNS1	
YBR156C	SLI15	0.029636
YBR157C	ICS2	0.112338
YBR158W	AMN1	0.210934
YBR159W		0.042176
YBR160W	CDC28	0.049013
YBR161W	CSH1	0.019682
YBR162C	TOS1	0.054790
YBR162W-A	YSY6	
YBR163W	DEM1	0.040318
YBR164C	ARL1	0.117484
YBR165W	UBS1	0.038191
YBR166C	TYR1	0.073368
YBR167C	POP7	0.042951
YBR168W	PEX32	
YBR169C	SSE2	0.111535
YBR170C	NPL4	
YBR171W	SEC66	0.018804
YBR172C	SMY2	0.089331
YBR173C	UMP1	0.166019
YBR174C		0.150684
YBR175W	SWD3	0.025772
YBR176W	ECM31	0.048355
YBR177C	EHT1	
YBR178W		0.105387
YBR179C	FZO1	0.046080
YBR180W	DTR1	0.012842
YBR181C	RPS6B	0.086191
YBR182C	SMP1	
YBR182C-A		
YBR183W	YPC1	0.022178
YBR184W		
YBR185C	MBA1	0.015876
YBR186W	PCH2	0.017054
YBR187W		0.063827
YBR188C	NTC20	0.082002
YBR189W	RPS9B	
YBR190W		0.058052
YBR191W	RPL21A	0.347246
YBR191W-A		
YBR192W	RIM2	0.102051
YBR193C	MED8	
YBR194W		0.211042
YBR195C	MSI1	0.020667
YBR196C	PGI1	0.395349
YBR196C-A		
YBR196C-B		
YBR197C		0.050658
YBR198C	TAF5	
YBR199W	KTR4	0.028652
YBR200W	BEM1	
YBR200W-A		
YBR201C-A		
YBR201W	DER1	0.085784
YBR202W	CDC47	0.098994
YBR203W	COS111	0.019253
YBR204C		
YBR205W	KTR3	
YBR206W		0.094829
YBR207W	FTH1	0.039571
YBR208C	DUR1,2	0.106382
YBR209W		
YBR210W	ERV15	0.034509
YBR211C	AME1	0.035908
YBR212W	NGR1	0.032259
YBR213W	MET8	0.016318
YBR214W	SDS24	0.031710
YBR215W	HPC2	0.070516
YBR216C	YBP1	0.059832
YBR217W	ATG12	0.034657
YBR218C	PYC2	
YBR219C		0.023873
YBR220C		0.055790
YBR221C	PDB1	
YBR221W-A		
YBR222C	PCS60	
YBR223C	TDP1	0.028521
YBR223W-A		
YBR224W		0.018083
YBR225W		0.049608
YBR226C		
YBR227C	MCX1	
YBR228W	SLX1	
YBR229C	ROT2	0.014965
YBR230C	OM14	
YBR230W-A		
YBR231C	SWC5	
YBR232C		0.010663
YBR233W	PBP2	0.031769
YBR233W-A	DAD3	
YBR234C	ARC40	0.027452
YBR235W		0.052437
YBR236C	ABD1	0.042105
YBR237W	PRP5	0.092071
YBR238C		0.117735
YBR239C		0.100626
YBR240C	THI2	
YBR241C		
YBR242W		0.076853
YBR243C	ALG7	0.009571
YBR244W	GPX2	
YBR245C	ISW1	0.046219
YBR246W		0.023753
YBR247C	ENP1	0.145772
YBR248C	HIS7	0.056124
YBR249C	ARO4	0.142127
YBR250W		
YBR251W	MRPS5	0.068045
YBR252W	DUT1	0.042637
YBR253W	SRB6	0.066857
YBR254C	TRS20	0.048089
YBR255C-A		0.057606
YBR255W		0.085186
YBR256C	RIB5	0.064126
YBR257W	POP4	0.079124
YBR258C	SHG1	0.117216
YBR259W		
YBR260C	RGD1	0.029157
YBR261C		0.054469
YBR262C		0.078627
YBR263W	SHM1	0.056944
YBR264C	YPT10	0.045937
YBR265W	TSC10	0.048637
YBR266C	SLM6	0.066202
YBR267W	REI1	0.129751
YBR268W	MRPL37	0.048670
YBR269C		0.035261
YBR270C		0.018519
YBR271W		0.046065
YBR272C	HSM3	
YBR273C	UBX7	0.023678
YBR274W	CHK1	0.004000
YBR275C	RIF1	0.102736
YBR276C	PPS1	
YBR277C		
YBR278W	DPB3	0.025188
YBR279W	PAF1	0.087399
YBR280C	SAF1	
YBR281C		0.027176
YBR282W	MRPL27	0.059275
YBR283C	SSH1	0.055113
YBR284W		0.011701
YBR285W		
YBR286W	APE3	0.098261
YBR287W		0.083195
YBR288C	APM3	0.058537
YBR289W	SNF5	0.070482
YBR290W	BSD2	0.079584
YBR291C	CTP1	0.117939
YBR292C		
YBR293W	VBA2	0.034061
YBR294W	SUL1	0.029237
YBR295W	PCA1	0.024091
YBR296C	PHO89	
YBR296C-A		
YBR297W	MAL33	
YBR298C	MAL31	0.100656
YBR298C-A		
YBR299W	MAL32	0.082408
YBR300C		0.029773
YBR301W	DAN3	0.016178
YBR302C	COS2	
YCL001W	RER1	
YCL001W-A		
YCL001W-B		
YCL002C		0.050636
YCL004W	PGS1	0.026050
YCL005W	LDB16	0.033240
YCL005W-A	VMA9	
YCL007C		0.059512
YCL008C	STP22	0.045329
YCL009C	ILV6	
YCL010C	SGF29	0.112334
YCL011C	GBP2	0.063215
YCL012C		
YCL014W	BUD3	0.024480
YCL016C	DCC1	0.015828
YCL017C	NFS1	0.043569
YCL018W	LEU2	
YCL021W-A		0.032381
YCL022C		0.010793
YCL023C		
YCL024W	KCC4	0.004698
YCL025C	AGP1	0.299845
YCL026C-A	FRM2	
YCL026C-B		
YCL027W	FUS1	
YCL028W	RNQ1	0.044670
YCL029C	BIK1	0.036299
YCL030C	HIS4	
YCL031C	RRP7	0.104453
YCL032W	STE50	
YCL033C		0.064675
YCL034W	LSB5	0.037387
YCL035C	GRX1	0.096734
YCL036W	GFD2	
YCL037C	SRO9	0.133626
YCL038C	ATG22	0.020928
YCL039W	GID7	
YCL040W	GLK1	
YCL041C		
YCL042W		
YCL043C	PDI1	0.105467
YCL044C	MGR1	0.015108
YCL045C		
YCL046W		0.069475
YCL047C		0.007563
YCL048W	SPS22	
YCL048W-A		
YCL049C		
YCL050C	APA1	0.045709
YCL051W	LRE1	0.054641
YCL052C	PBN1	0.011304
YCL054W	SPB1	0.248464
YCL055W	KAR4	0.055584
YCL056C		0.066223
YCL057C-A		
YCL057W	PRD1	0.057914
YCL058C	FYV5	
YCL058W-A		
YCL059C	KRR1	0.189915
YCL061C	MRC1	0.036391
YCL063W	VAC17	0.074240
YCL064C	CHA1	
YCL065W		0.048693
YCL066W	HMLALPHA1	0.119544
YCL067C	HMLALPHA2	
YCL068C		0.009173
YCL069W	VBA3	0.013599
YCL073C		0.010376
YCL076W		
YCR001W		
YCR002C	CDC10	0.045634
YCR003W	MRPL32	0.033826
YCR004C	YCP4	
YCR005C	CIT2	0.951757
YCR006C		0.061368
YCR007C		0.045068
YCR008W	SAT4	0.079580
YCR009C	RVS161	0.083216
YCR010C	ADY2	0.016110
YCR011C	ADP1	
YCR012W	PGK1	0.602246
YCR013C		
YCR014C	POL4	0.083053
YCR015C		0.039325
YCR016W		0.102408
YCR017C	CWH43	0.030576
YCR018C	SRD1	
YCR018C-A		
YCR019W	MAK32	0.014129
YCR020C	PET18	0.033547
YCR020C-A	MAK31	0.026967
YCR020W-B	HTL1	
YCR021C	HSP30	
YCR022C		
YCR023C		0.070906
YCR024C	SLM5	0.014087
YCR024C-A	PMP1	
YCR024C-B		
YCR025C		0.059726
YCR026C	NPP1	0.085501
YCR027C	RHB1	0.065016
YCR028C	FEN2	0.017765
YCR028C-A	RIM1	
YCR030C	SYP1	
YCR031C	RPS14A	0.078316
YCR032W	BPH1	
YCR033W	SNT1	0.140761
YCR034W	FEN1	0.010752
YCR035C	RRP43	0.072207
YCR036W	RBK1	0.087105
YCR037C	PHO87	0.098530
YCR038C	BUD5	
YCR038W-A		
YCR039C	MATALPHA2	0.018307
YCR040W	MATALPHA1	
YCR041W		0.032975
YCR042C	TAF2	0.010058
YCR043C		
YCR044C	PER1	
YCR045C		0.018075
YCR045W-A		
YCR046C	IMG1	0.048661
YCR047C	BUD23	0.115038
YCR047W-A		
YCR048W	ARE1	0.037385
YCR049C		0.019633
YCR050C		
YCR051W		
YCR052W	RSC6	0.033889
YCR053W	THR4	0.037923
YCR054C	CTR86	
YCR057C	PWP2	
YCR059C	YIH1	
YCR060W	TAH1	0.063552
YCR061W		0.033641
YCR063W	BUD31	0.084805
YCR064C		0.045134
YCR065W	HCM1	0.078745
YCR066W	RAD18	0.017827
YCR067C	SED4	0.015892
YCR068W	ATG15	0.032997
YCR069W	CPR4	0.069683
YCR071C	IMG2	0.030309
YCR072C	RSA4	0.047585
YCR073C	SSK22	
YCR073W-A	SOL2	
YCR075C	ERS1	0.016337
YCR075W-A		
YCR076C		0.027851
YCR077C	PAT1	
YCR079W		0.021985
YCR081C-A		
YCR081W	SRB8	
YCR082W	AHC2	0.065321
YCR083W	TRX3	0.089981
YCR084C	TUP1	0.046640
YCR085W		
YCR086W	CSM1	0.062756
YCR087C-A		
YCR087W		0.083182
YCR088W	ABP1	0.097116
YCR089W	FIG2	
YCR090C		
YCR091W	KIN82	0.031330
YCR092C	MSH3	
YCR093W	CDC39	
YCR094W	CDC50	0.041252
YCR095C		
YCR095W-A		
YCR096C	HMRA2	0.033729
YCR097W	HMRA1	
YCR097W-A		
YCR098C	GIT1	
YCR099C		
YCR100C		0.016192
YCR101C		0.009660
YCR102C		
YCR102W-A		
YCR104W	PAU3	0.006496
YCR105W	ADH7	
YCR106W	RDS1	
YCR107W	AAD3	
YCR108C		
YDL001W	RMD1	0.035201
YDL002C	NHP10	0.394770
YDL003W	MCD1	0.065292
YDL004W	ATP16	0.039848
YDL005C	MED2	0.053597
YDL006W	PTC1	0.102099
YDL007C-A		
YDL007W	RPT2	0.092843
YDL008W	APC11	0.036724
YDL009C		
YDL010W		0.045362
YDL011C		0.041105
YDL012C		0.124294
YDL013W	HEX3	0.097377
YDL014W	NOP1	0.048345
YDL015C	TSC13	0.051253
YDL016C		0.068735
YDL017W	CDC7	
YDL018C	ERP3	0.009751
YDL019C	OSH2	0.069248
YDL020C	RPN4	0.457137
YDL021W	GPM2	0.146513
YDL022C-A		
YDL022W	GPD1	0.129667
YDL023C		0.036584
YDL024C	DIA3	0.014766
YDL025C		0.044321
YDL025W-A		
YDL026W		
YDL027C		0.025482
YDL028C	MPS1	0.034384
YDL029W	ARP2	0.035747
YDL030W	PRP9	
YDL031W	DBP10	
YDL032W		
YDL033C	SLM3	0.130908
YDL034W		0.022992
YDL035C	GPR1	0.054782
YDL036C	PUS9	
YDL037C	BSC1	0.161846
YDL038C		
YDL039C	PRM7	
YDL040C	NAT1	0.070841
YDL041W		
YDL042C	SIR2	0.052099
YDL043C	PRP11	0.031813
YDL044C	MTF2	0.085626
YDL045C	FAD1	0.040205
YDL045W-A	MRP10	0.034275
YDL046W	NPC2	0.083300
YDL047W	SIT4	0.206549
YDL048C	STP4	
YDL049C	KNH1	0.111782
YDL050C		
YDL051W	LHP1	
YDL052C	SLC1	
YDL053C	PBP4	0.057263
YDL054C	MCH1	
YDL055C	PSA1	0.995769
YDL056W	MBP1	0.064059
YDL057W		0.043276
YDL058W	USO1	
YDL059C	RAD59	
YDL060W	TSR1	0.105811
YDL061C	RPS29B	0.053044
YDL062W		0.245806
YDL063C		0.083108
YDL064W	UBC9	
YDL065C	PEX19	0.157738
YDL066W	IDP1	0.033601
YDL067C	COX9	
YDL068W		0.064153
YDL069C	CBS1	0.099472
YDL070W	BDF2	0.152647
YDL071C		0.047644
YDL072C	YET3	0.033107
YDL073W		0.063948
YDL074C	BRE1	0.117269
YDL075W	RPL31A	0.245341
YDL076C	RXT3	0.061089
YDL077C	VAM6	
YDL078C	MDH3	0.183096
YDL079C	MRK1	0.042616
YDL080C	THI3	0.022060
YDL081C	RPP1A	0.107956
YDL082W	RPL13A	0.128368
YDL083C	RPS16B	0.157522
YDL084W	SUB2	0.057146
YDL085C-A		
YDL085W	NDE2	0.014746
YDL086C-A		
YDL086W		0.032745
YDL087C	LUC7	0.020959
YDL088C	ASM4	0.099905
YDL089W		0.020149
YDL090C	RAM1	
YDL091C	UBX3	0.037267
YDL092W	SRP14	0.074512
YDL093W	PMT5	0.017495
YDL094C		0.020965
YDL095W	PMT1	0.046054
YDL096C	OPI6	0.029832
YDL097C	RPN6	0.094777
YDL098C	SNU23	0.037516
YDL099W	BUG1	0.230131
YDL100C	GET3	0.065002
YDL101C	DUN1	0.032371
YDL102W	CDC2	
YDL103C	QRI1	0.023141
YDL104C	QRI7	0.073828
YDL105W	NSE4	0.083003
YDL106C	PHO2	0.029371
YDL107W	MSS2	0.079080
YDL108W	KIN28	0.099767
YDL109C		
YDL110C	TMA17	0.413149
YDL111C	RRP42	0.050522
YDL112W	TRM3	0.290791
YDL113C	ATG20	0.040694
YDL114W		
YDL114W-A		
YDL115C	IWR1	
YDL116W	NUP84	0.052455
YDL117W	CYK3	0.088385
YDL118W		0.044105
YDL119C		0.085325
YDL120W	YFH1	0.076099
YDL121C		0.091096
YDL122W	UBP1	
YDL123W	SNA4	0.151604
YDL124W		0.060715
YDL125C	HNT1	0.312818
YDL126C	CDC48	0.240197
YDL127W	PCL2	0.048157
YDL128W	VCX1	0.051602
YDL129W		0.058517
YDL130W	RPP1B	0.069764
YDL130W-A	STF1	
YDL131W	LYS21	
YDL132W	CDC53	0.078558
YDL133C-A	RPL41B	
YDL133W		
YDL134C	PPH21	0.159270
YDL135C	RDI1	0.070248
YDL136W	RPL35B	0.183869
YDL137W	ARF2	0.124659
YDL138W	RGT2	
YDL139C	SCM3	0.031897
YDL140C	RPO21	
YDL141W	BPL1	0.033125
YDL142C	CRD1	
YDL143W	CCT4	0.084006
YDL144C		0.075788
YDL145C	COP1	0.069143
YDL146W	LDB17	0.055290
YDL147W	RPN5	0.153253
YDL148C	NOP14	0.123292
YDL149W	ATG9	
YDL150W	RPC53	0.056319
YDL151C	BUD30	
YDL152W		
YDL153C	SAS10	0.275658
YDL154W	MSH5	0.028891
YDL155W	CLB3	0.031101
YDL156W		
YDL157C		
YDL158C		
YDL159C-B		
YDL159W	STE7	0.019871
YDL159W-A		
YDL160C	DHH1	
YDL160C-A		
YDL161W	ENT1	0.047078
YDL162C		0.020544
YDL163W		
YDL164C	CDC9	0.026431
YDL165W	CDC36	0.026056
YDL166C	FAP7	0.173935
YDL167C	NRP1	0.076187
YDL168W	SFA1	0.054982
YDL169C	UGX2	
YDL170W	UGA3	
YDL171C	GLT1	0.123383
YDL172C		0.048272
YDL173W		0.036063
YDL174C	DLD1	0.100149
YDL175C	AIR2	0.086262
YDL176W		0.036526
YDL177C		0.126246
YDL178W	DLD2	0.057725
YDL179W	PCL9	0.099556
YDL180W		0.029666
YDL181W	INH1	0.094303
YDL182W	LYS20	0.181800
YDL183C		0.036071
YDL184C	RPL41A	
YDL185C-A		
YDL185W	TFP1	0.138524
YDL186W		0.024262
YDL187C		0.019380
YDL188C	PPH22	0.114774
YDL189W	RBS1	
YDL190C	UFD2	0.041174
YDL191W	RPL35A	0.255635
YDL192W	ARF1	0.090265
YDL193W	NUS1	0.046290
YDL194W	SNF3	0.031021
YDL195W	SEC31	0.068139
YDL196W		
YDL197C	ASF2	
YDL198C	GGC1	
YDL199C		0.008382
YDL200C	MGT1	
YDL201W	TRM8	0.083131
YDL202W	MRPL11	0.027228
YDL203C		0.032992
YDL204W	RTN2	0.075220
YDL205C	HEM3	0.182249
YDL206W		0.021653
YDL207W	GLE1	0.069293
YDL208W	NHP2	0.356516
YDL209C	CWC2	0.101253
YDL210W	UGA4	0.024231
YDL211C		0.037038
YDL212W	SHR3	
YDL213C	NOP6	0.141701
YDL214C	PRR2	
YDL215C	GDH2	0.079385
YDL216C	RRI1	0.037032
YDL217C	TIM22	0.041422
YDL218W		0.031511
YDL219W	DTD1	0.031503
YDL220C	CDC13	0.031157
YDL221W		0.038054
YDL222C	FMP45	0.020324
YDL223C	HBT1	0.074496
YDL224C	WHI4	0.040526
YDL225W	SHS1	0.037876
YDL226C	GCS1	0.072693
YDL227C	HO	
YDL228C		
YDL229W	SSB1	0.079077
YDL230W	PTP1	0.067400
YDL231C	BRE4	0.078324
YDL232W	OST4	
YDL233W		0.016887
YDL234C	GYP7	
YDL235C	YPD1	0.086963
YDL236W	PHO13	0.058054
YDL237W		0.039280
YDL238C	GUD1	0.025104
YDL239C	ADY3	0.029182
YDL240C-A		
YDL240W	LRG1	
YDL241W		0.036079
YDL242W		0.021439
YDL243C	AAD4	0.058116
YDL244W	THI13	0.030264
YDL245C	HXT15	0.008773
YDL246C	SOR2	0.037499
YDL247W	MPH2	0.028181
YDL247W-A		
YDL248W	COS7	
YDR001C	NTH1	
YDR002W	YRB1	0.254299
YDR003W	RCR2	0.017125
YDR003W-A		
YDR004W	RAD57	0.030393
YDR005C	MAF1	0.048720
YDR006C	SOK1	0.086881
YDR007W	TRP1	0.058758
YDR008C		0.106979
YDR009W	GAL3	0.054953
YDR010C		0.184032
YDR011W	SNQ2	
YDR012W	RPL4B	
YDR013W	PSF1	
YDR014W	RAD61	
YDR014W-A	HED1	
YDR015C		0.013028
YDR016C	DAD1	
YDR017C	KCS1	0.180768
YDR018C		0.062265
YDR019C	GCV1	0.031422
YDR020C		0.065624
YDR021W	FAL1	0.075278
YDR022C	CIS1	0.022262
YDR023W	SES1	0.070380
YDR024W	FYV1	
YDR025W	RPS11A	0.141473
YDR026C		0.130249
YDR027C	VPS54	0.034365
YDR028C	REG1	
YDR029W		
YDR030C	RAD28	
YDR031W		
YDR032C	PST2	0.049953
